0	0.601652	-nan	47	-nan	-nan	nan	-1	-1	2
1	0.601652	63.7498	47	1.35638	0.0292704	0.0275571	-1	-1	3
9	0.601652	56.021	47	1.19194	0.0338679	0.0276217	-1	-1	3
11	0.601652	50.2958	47	1.07012	0.00344611	0.026696	-1	-1	3
27	0.601652	40.4026	47	0.85963	0.0241971	0.0272124	-1	-1	3
28	0.601652	48.7554	47	1.03735	0.0315018	0.0275244	-1	-1	3
59	0.601652	37.0933	47	0.789219	0.0153467	0.0270114	-1	-1	3
62	0.601652	54.5019	47	1.15961	0.0749967	0.0289814	-1	-1	3
70	0.601652	49.9754	47	1.06331	0.0117742	0.0268809	-1	-1	3
114	0.601652	42.2879	47	0.899743	-0.0181592	0.0259387	-1	-1	3
117	0.601652	53.6838	47	1.14221	-7.21481e-05	0.0265776	-1	-1	3
130	0.601652	40.8715	47	0.869607	-0.0093338	0.0262226	-1	-1	3
172	0.601652	40.75	47	0.867022	0.0013823	0.0265054	-1	-1	3
174	0.601652	55.5294	47	1.18148	0.0633543	0.0285096	-1	-1	3
176	0.601652	34.7501	47	0.739364	0.00304451	0.0266078	-1	-1	3
181	0.601652	65.5722	47	1.39515	-0.0497338	0.0249233	-1	-1	3
199	0.601652	44.5781	47	0.94847	-0.0194172	0.0258635	-1	-1	3
206	0.601652	42.2394	47	0.89871	-0.0353588	0.0252599	-1	-1	3
213	0.601652	46.0277	47	0.979313	0.0478682	0.0280874	-1	-1	3
236	0.601652	46.6282	47	0.992088	-0.00523157	0.0263579	-1	-1	3
250	0.601652	55.6024	47	1.18303	-0.0424862	0.0251664	-1	-1	3
310	0.601652	54.9366	47	1.16886	0.0444888	0.027916	-1	-1	3
315	0.601652	43.7129	47	0.930062	-0.0602864	0.0245367	-1	-1	3
317	0.601652	73.1308	47	1.55597	0.0296081	0.0274958	-1	-1	3
318	0.601652	50.1338	47	1.06668	-0.0119663	0.0260625	-1	-1	3
321	0.601652	52.8007	47	1.12342	-0.0376553	0.0252917	-1	-1	3
347	0.601652	69.8161	47	1.48545	0.0153381	0.0270375	-1	-1	3
356	0.601652	50.2112	47	1.06832	-0.0167515	0.025912	-1	-1	3
362	0.601652	39.5204	47	0.84086	-0.00117708	0.026417	-1	-1	3
371	0.601652	40.7205	47	0.866393	0.019334	0.0271437	-1	-1	3
377	0.601652	56.4438	47	1.20093	-0.0287224	0.0255331	-1	-1	3
397	0.601652	52.2727	47	1.11218	-0.000689363	0.026468	-1	-1	3
407	0.601652	58.8774	47	1.25271	0.0104728	0.0269307	-1	-1	3
413	0.601652	41.0168	47	0.872698	0.00645433	0.0266865	-1	-1	3
417	0.601652	39.1383	47	0.83273	-0.0594304	0.0246488	-1	-1	3
419	0.601652	41.2632	47	0.877941	-0.0525921	0.0247671	-1	-1	3
421	0.601652	55.6864	47	1.18482	0.0312677	0.0274871	-1	-1	3
460	0.601652	60.4378	47	1.28591	0.0805633	0.0291055	-1	-1	3
466	0.601652	38.0602	47	0.809791	-0.0361112	0.0253768	-1	-1	3
468	0.601652	38.1293	47	0.811262	0.0223703	0.0271658	-1	-1	3
477	0.601652	43.7765	47	0.931414	-0.0261184	0.0256524	-1	-1	3
